method,k,features,r2,mse
Pearson,1,lstat,0.5429180422970386,33.51954917268489
Pearson,2,"lstat, rm",0.5739577415025858,31.243290601783634
Pearson,3,"lstat, rm, ptratio",0.6302528487272829,27.114957415580566
Pearson,4,"lstat, rm, ptratio, indus",0.628420675407839,27.249317616500793
Pearson,5,"lstat, rm, ptratio, indus, tax",0.6196683547405601,27.89115840246464
Pearson,6,"lstat, rm, ptratio, indus, tax, nox",0.6209548378098446,27.7968157320223
Pearson,7,"lstat, rm, ptratio, indus, tax, nox, rad",0.6469729186973701,25.88881142996876
Pearson,8,"lstat, rm, ptratio, indus, tax, nox, rad, crim",0.6442078780664786,26.091582320024038
Pearson,9,"lstat, rm, ptratio, indus, tax, nox, rad, crim, age",0.6511131235552192,25.585194544683944
Pearson,10,"lstat, rm, ptratio, indus, tax, nox, rad, crim, age, b",0.6288123585864365,27.220594007213982
Pearson,11,"lstat, rm, ptratio, indus, tax, nox, rad, crim, age, b, zn",0.6211363896861365,27.783501846093962
Pearson,12,"lstat, rm, ptratio, indus, tax, nox, rad, crim, age, b, zn, dis",0.6640648675861123,24.63539415637442
Pearson,13,"lstat, rm, ptratio, indus, tax, nox, rad, crim, age, b, zn, dis, chas",0.668759493535632,24.291119474973513
Spearman,1,lstat,0.5429180422970386,33.51954917268489
Spearman,2,"lstat, rm",0.5739577415025858,31.243290601783634
Spearman,3,"lstat, rm, indus",0.5784397814546065,30.914605655826243
Spearman,4,"lstat, rm, indus, nox",0.5785570200892449,30.90600810321566
Spearman,5,"lstat, rm, indus, nox, ptratio",0.6295550700486403,27.166128165894037
Spearman,6,"lstat, rm, indus, nox, ptratio, tax",0.6209548378098447,27.796815732022296
Spearman,7,"lstat, rm, indus, nox, ptratio, tax, crim",0.6122974087193636,28.431697759669504
Spearman,8,"lstat, rm, indus, nox, ptratio, tax, crim, age",0.6178202997620945,28.026683265523793
Spearman,9,"lstat, rm, indus, nox, ptratio, tax, crim, age, dis",0.6411266329007711,26.31754168486983
Spearman,10,"lstat, rm, indus, nox, ptratio, tax, crim, age, dis, zn",0.6554596102737336,25.266450230159183
